Customer_ID,Region,Order_Amount,Order_Date
CUST1046,London,441,07/11/2024
CUST1034,Birmingham,136,07/01/2024
CUST1077,Manchester,153,03/01/2024
CUST1080,London,77,20/04/2024
CUST1035,Manchester,63,25/08/2024
CUST1049,Manchester,192,28/12/2024
CUST1003,Birmingham,179,26/08/2024
CUST1001,Manchester,192,30/09/2024
CUST1005,Manchester,336,20/10/2024
CUST1053,Birmingham,322,14/08/2024
CUST1003,Manchester,168,15/01/2024
CUST1053,Manchester,99,10/07/2024
CUST1092,Manchester,393,28/04/2024
CUST1062,London,232,28/01/2024
CUST1017,London,222,20/07/2024
CUST1089,London,271,08/02/2024
CUST1043,Birmingham,248,29/09/2024
CUST1033,Leeds,183,18/08/2024
CUST1073,Manchester,246,26/03/2024
CUST1061,Manchester,166,05/05/2024
CUST1099,Birmingham,39,26/10/2024
CUST1013,Manchester,460,25/01/2024
CUST1094,London,421,24/05/2024
CUST1047,Leeds,66,13/01/2024
CUST1014,Glasgow,252,30/07/2024
CUST1071,Manchester,324,25/01/2024
CUST1077,London,33,08/03/2024
CUST1086,Glasgow,162,07/03/2024
CUST1061,Leeds,434,20/08/2024
CUST1039,Glasgow,20,18/04/2024
CUST1084,London,392,25/05/2024
CUST1079,Glasgow,73,20/04/2024
CUST1081,Birmingham,393,15/08/2024
CUST1052,Glasgow,278,20/04/2024
CUST1023,Manchester,163,03/02/2024
CUST1025,Manchester,490,20/04/2024
CUST1088,Birmingham,460,20/09/2024
CUST1059,London,478,23/08/2024
CUST1040,Manchester,31,23/03/2024
CUST1028,Leeds,349,11/02/2024
CUST1014,Manchester,243,10/04/2024
CUST1044,Manchester,291,06/01/2024
CUST1064,London,475,28/06/2024
CUST1088,Glasgow,377,08/10/2024
CUST1070,Manchester,479,15/11/2024
CUST1008,Birmingham,427,13/08/2024
CUST1087,Glasgow,175,10/11/2024
CUST1000,Leeds,392,30/12/2024
CUST1007,London,27,16/08/2024
CUST1087,Leeds,141,15/10/2024
CUST1062,Glasgow,367,29/05/2024
CUST1010,Glasgow,183,03/10/2024
CUST1080,Glasgow,109,16/07/2024
CUST1007,Leeds,155,10/03/2024
CUST1034,Glasgow,205,21/04/2024
CUST1034,Leeds,335,04/01/2024
CUST1032,Glasgow,197,15/12/2024
CUST1004,Birmingham,47,26/11/2024
CUST1040,Glasgow,239,13/11/2024
CUST1027,Leeds,376,15/12/2024
CUST1006,Manchester,60,04/04/2024
CUST1072,Glasgow,247,31/05/2024
CUST1071,Manchester,211,06/11/2024
CUST1011,Birmingham,430,16/05/2024
CUST1033,London,466,03/09/2024
CUST1032,Birmingham,164,30/08/2024
CUST1047,Glasgow,220,31/01/2024
CUST1022,Manchester,436,09/02/2024
CUST1061,Manchester,231,16/08/2024
CUST1087,Leeds,480,05/02/2024
CUST1036,Manchester,239,10/08/2024
CUST1098,Leeds,259,06/01/2024
CUST1043,London,432,17/11/2024
CUST1085,Glasgow,416,07/08/2024
CUST1090,Leeds,65,15/03/2024
CUST1034,London,54,04/01/2024
CUST1064,Manchester,272,30/11/2024
CUST1098,Manchester,409,13/05/2024
CUST1046,London,101,27/04/2024
CUST1077,Manchester,390,03/04/2024
CUST1002,London,275,02/03/2024
CUST1000,Leeds,216,12/07/2024
CUST1004,Leeds,322,30/11/2024
CUST1089,London,428,21/07/2024
CUST1013,Leeds,469,26/01/2024
CUST1026,Leeds,29,21/06/2024
CUST1008,Leeds,331,26/10/2024
CUST1078,Birmingham,305,12/05/2024
CUST1014,Glasgow,261,21/11/2024
CUST1089,Manchester,270,27/04/2024
CUST1041,Birmingham,384,19/11/2024
CUST1076,Leeds,24,01/10/2024
CUST1050,London,138,30/07/2024
CUST1062,Leeds,308,12/08/2024
CUST1095,Glasgow,393,20/01/2024
CUST1051,Leeds,84,22/04/2024
CUST1095,London,165,19/05/2024
CUST1003,Glasgow,243,16/02/2024
CUST1093,Leeds,258,01/01/2024
CUST1022,Glasgow,196,30/03/2024
CUST1014,Manchester,286,21/05/2024
CUST1042,Manchester,360,15/11/2024
CUST1028,Leeds,301,07/02/2024
CUST1035,Glasgow,82,19/10/2024
CUST1012,London,236,18/05/2024
CUST1031,Leeds,361,21/12/2024
CUST1070,Manchester,334,28/11/2024
CUST1058,Manchester,302,15/09/2024
CUST1085,Leeds,196,09/06/2024
CUST1027,Glasgow,480,26/06/2024
CUST1065,Manchester,436,10/01/2024
CUST1041,Glasgow,117,17/09/2024
CUST1044,Manchester,124,17/05/2024
CUST1061,Manchester,118,20/06/2024
CUST1056,Birmingham,404,13/01/2024
CUST1005,Manchester,424,16/06/2024
CUST1027,London,330,09/05/2024
CUST1027,Leeds,25,24/03/2024
CUST1043,Leeds,495,16/11/2024
CUST1083,Glasgow,484,14/11/2024
CUST1029,Manchester,216,10/04/2024
CUST1061,London,370,24/11/2024
CUST1074,Glasgow,152,29/09/2024
CUST1091,Birmingham,377,21/09/2024
CUST1088,Glasgow,278,07/02/2024
CUST1061,Glasgow,456,03/04/2024
CUST1096,Manchester,42,04/04/2024
CUST1000,Birmingham,72,31/10/2024
CUST1026,Glasgow,184,09/03/2024
CUST1061,London,221,13/11/2024
CUST1076,London,477,23/08/2024
CUST1002,Leeds,102,29/11/2024
CUST1069,Birmingham,164,16/05/2024
CUST1071,Birmingham,104,16/03/2024
CUST1026,Leeds,97,04/02/2024
CUST1008,Glasgow,476,01/01/2024
CUST1061,Birmingham,385,22/10/2024
CUST1036,London,20,15/11/2024
CUST1096,London,70,29/02/2024
CUST1050,Manchester,192,15/11/2024
CUST1043,Birmingham,224,14/12/2024
CUST1023,Glasgow,279,23/11/2024
CUST1078,Leeds,465,23/09/2024
CUST1058,Leeds,468,26/12/2024
CUST1031,Glasgow,388,16/08/2024
CUST1095,Manchester,307,26/09/2024
CUST1087,Leeds,53,11/11/2024
CUST1051,Birmingham,367,12/10/2024
CUST1061,Manchester,114,17/10/2024
CUST1057,Birmingham,91,31/07/2024
CUST1051,London,58,13/06/2024
CUST1011,Manchester,173,05/01/2024
CUST1038,Leeds,269,04/12/2024
CUST1001,Manchester,181,18/03/2024
CUST1002,Manchester,457,02/03/2024
CUST1055,Manchester,137,11/05/2024
CUST1080,Manchester,278,29/03/2024
CUST1058,Birmingham,398,24/08/2024
CUST1001,London,325,11/02/2024
CUST1001,Glasgow,287,29/03/2024
CUST1091,Manchester,468,22/10/2024
CUST1053,Leeds,73,23/11/2024
CUST1086,Manchester,255,21/10/2024
CUST1095,Leeds,408,13/04/2024
CUST1096,Birmingham,497,14/01/2024
CUST1000,Leeds,241,14/10/2024
CUST1018,Glasgow,270,27/06/2024
CUST1001,London,332,04/05/2024
CUST1052,Leeds,420,18/12/2024
CUST1043,Leeds,131,23/01/2024
CUST1089,London,274,03/03/2024
CUST1031,Glasgow,322,22/05/2024
CUST1069,Manchester,426,01/06/2024
CUST1031,Leeds,226,24/05/2024
CUST1067,London,248,12/08/2024
CUST1054,Birmingham,360,04/11/2024
CUST1074,London,417,13/04/2024
CUST1055,Birmingham,85,13/04/2024
CUST1016,Glasgow,94,08/02/2024
CUST1037,Manchester,454,16/07/2024
CUST1023,London,122,13/05/2024
CUST1068,Leeds,441,07/03/2024
CUST1097,Glasgow,211,27/06/2024
CUST1069,London,271,11/02/2024
CUST1085,Leeds,245,15/01/2024
CUST1010,London,313,20/04/2024
CUST1015,Birmingham,325,05/06/2024
CUST1096,London,117,15/10/2024
CUST1072,London,357,18/08/2024
CUST1058,London,305,05/06/2024
CUST1069,Glasgow,354,07/02/2024
CUST1079,London,366,06/04/2024
CUST1092,Leeds,454,15/10/2024
CUST1002,Birmingham,466,10/09/2024
CUST1019,Birmingham,327,14/07/2024
CUST1058,London,268,26/03/2024
CUST1035,Glasgow,185,17/11/2024
CUST1018,Glasgow,491,10/01/2024
CUST1089,Leeds,354,05/01/2024
CUST1066,London,49,02/05/2024
CUST1018,Birmingham,266,25/11/2024
CUST1019,Glasgow,125,18/12/2024
CUST1095,London,70,27/04/2024
CUST1070,Glasgow,100,20/10/2024
CUST1051,Glasgow,152,07/06/2024
CUST1032,Birmingham,304,29/10/2024
CUST1039,Manchester,407,15/08/2024
CUST1038,Leeds,157,30/12/2024
CUST1081,Leeds,203,03/08/2024
CUST1000,Birmingham,420,02/07/2024
CUST1010,Glasgow,349,15/01/2024
CUST1091,London,292,05/06/2024
CUST1056,Glasgow,359,15/05/2024
CUST1088,Birmingham,491,17/09/2024
CUST1049,Leeds,88,05/06/2024
CUST1022,Glasgow,53,16/02/2024
CUST1030,Leeds,281,19/11/2024
CUST1093,London,72,27/11/2024
CUST1041,Leeds,469,21/06/2024
CUST1098,Leeds,224,09/05/2024
CUST1006,Manchester,145,04/04/2024
CUST1015,Manchester,254,24/04/2024
CUST1089,Manchester,62,30/08/2024
CUST1059,Leeds,259,18/10/2024
CUST1001,Birmingham,478,08/10/2024
CUST1000,Leeds,390,25/10/2024
CUST1047,Birmingham,130,09/10/2024
CUST1011,Birmingham,268,09/03/2024
CUST1068,Manchester,170,27/05/2024
CUST1036,Glasgow,202,11/01/2024
CUST1031,London,355,10/09/2024
CUST1008,Manchester,114,25/11/2024
CUST1098,Manchester,478,25/12/2024
CUST1018,Glasgow,393,07/02/2024
CUST1047,London,419,13/05/2024
